official_name,osm_street_name,match_key,zone_numbers,tariff_zone,price_label,time_rules,stall_count,source,source_confidence
VIA RONCHI,Via Ronchi,viaronchi,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,18,amts_piano_generale_sosta,0.82
VIA RUGGERO SETTIMO,Via Ruggero Settimo,viaruggerosettimo,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,15,amts_piano_generale_sosta,0.82
VIA SABOTINO,Via Sabotino,viasabotino,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,8,amts_piano_generale_sosta,0.82
VIA SALEMI,Via Salemi,viasalemi,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,9,amts_piano_generale_sosta,0.82
VIA CITELLI,Via Salvatore Citelli,viasalvatorecitelli,7,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,40,amts_piano_generale_sosta,0.82
VIA SALVATORE PAOLA,Via Salvatore Paola,viasalvatorepaola,15,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,25,amts_piano_generale_sosta,0.82
VIA TOMASELLI,Via Salvatore Tomaselli,viasalvatoretomaselli,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,22,amts_piano_generale_sosta,0.82
VIA S. GAETANO,Via San Gaetano,viasangaetano,3,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,6,amts_piano_generale_sosta,0.82
VIA SAN GIUSEPPE AL DUOMO,Via San Giuseppe al Duomo,viasangiuseppealduomo,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,17,amts_piano_generale_sosta,0.82
VIA LEONARDO,Via San Leonardo,viasanleonardo,15,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,30,amts_piano_generale_sosta,0.82
VIA S. MICHELE,Via San Michele,viasanmichele,3,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,9,amts_piano_generale_sosta,0.82
VIA SAN VITO,Via San Vito,viasanvito,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,11,amts_piano_generale_sosta,0.82
VIA S. ELENA,Via Sant'Elena,viasantelena,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,9,amts_piano_generale_sosta,0.82
VIA S. EUPLIO,Via Sant'Euplio,viasanteuplio,9;15,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,110,amts_piano_generale_sosta,0.82
VIA S. MADDALENA,Via Santa Maddalena,viasantamaddalena,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,58,amts_piano_generale_sosta,0.82
VIA S. MARIA DELLE GRAZIE,Via Santa Maria delle Grazie,viasantamariadellegrazie,1,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,12,amts_piano_generale_sosta,0.82
VIA S. MARIA LA GRANDE,Via Santa Maria la Grande,viasantamarialagrande,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,12,amts_piano_generale_sosta,0.82
VIA SARDO,Via Sardo,viasardo,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,15,amts_piano_generale_sosta,0.82
VIA SASSARI,Via Sassari,viasassari,17;43,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,37,amts_piano_generale_sosta,0.82
VIA SISTO,Via Sisto,viasisto,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,20,amts_piano_generale_sosta,0.82
VIA STELLATA,Via Stellata,viastellata,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,15,amts_piano_generale_sosta,0.82
VIA TAGLIAMENTO,Via Tagliamento,viatagliamento,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,25,amts_piano_generale_sosta,0.82
VIA TEOCRITO,Via Teocrito,viateocrito,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,54,amts_piano_generale_sosta,0.82
VIA TERAMO,Via Teramo,viateramo,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,19,amts_piano_generale_sosta,0.82
VIA TOLMEZZO,Via Tolmezzo,viatolmezzo,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,10,amts_piano_generale_sosta,0.82
VIA TORINO,Via Torino,viatorino,16,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,18,amts_piano_generale_sosta,0.82
