official_name,osm_street_name,match_key,zone_numbers,tariff_zone,price_label,time_rules,stall_count,source,source_confidence
VIA CANFORA,Via Canfora,viacanfora,15;17,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,54,amts_piano_generale_sosta,0.82
VIA CAPPUCCINI,Via Cappuccini,viacappuccini,2;9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,40,amts_piano_generale_sosta,0.82
VIA CARLO SADA,Via Carlo Sada,viacarlosada,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,8,amts_piano_generale_sosta,0.82
VIA CARMELITANI,Via Carmelitani,viacarmelitani,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,15,amts_piano_generale_sosta,0.82
VIA CARMELO SCIUTO PATTI,Via Carmelo Sciuto Patti,viacarmelosciutopatti,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,19,amts_piano_generale_sosta,0.82
VIA CARONDA,Via Caronda,viacaronda,9;15;16,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,86,amts_piano_generale_sosta,0.82
VIA CASELLO,Via Casello,viacasello,1,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,12,amts_piano_generale_sosta,0.82
VIA CASERTA,Via Caserta,viacaserta,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,16,amts_piano_generale_sosta,0.82
VIA CAVALIERE,Via Cavaliere,viacavaliere,43,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,20,amts_piano_generale_sosta,0.82
VIA CERVIGNANO,Via Cervignano,viacervignano,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,33,amts_piano_generale_sosta,0.82
VIA CESARE BECCARIA,Via Cesare Beccaria,viacesarebeccaria,13,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,16,amts_piano_generale_sosta,0.82
VIA CIFALI,Via Cifali,viacifali,13,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,14,amts_piano_generale_sosta,0.82
VIA CONTE DI TORINO,Via Conte di Torino,viaconteditorino,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,44,amts_piano_generale_sosta,0.82
VIA CONTE RUGGERO,Via Conte Ruggero,viaconteruggero,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,49,amts_piano_generale_sosta,0.82
VIA COSENTINO,Via Cosentino,viacosentino,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,10,amts_piano_generale_sosta,0.82
VIA CRISTOFORO COLOMBO,Via Cristoforo Colombo,viacristoforocolombo,1,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,12,amts_piano_generale_sosta,0.82
VIA DALMAZIA,Via Dalmazia,viadalmazia,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,17,amts_piano_generale_sosta,0.82
VIA DEI MITI,Via dei Miti,viadeimiti,15,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,13,amts_piano_generale_sosta,0.82
VIA DELLA FIACCOLA,Via della Fiaccola,viadellafiaccola,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,9,amts_piano_generale_sosta,0.82
VIA DELLA LOGGETTA,Via della Loggetta,viadellaloggetta,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,6,amts_piano_generale_sosta,0.82
VIA MOTTA DIONISIO,Via Dionisio Motta,viadionisiomotta,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,11,amts_piano_generale_sosta,0.82
VIA CIMAROSA,Via Domenico Cimarosa,viadomenicocimarosa,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,42,amts_piano_generale_sosta,0.82
VIA DOTTOR CONSOLI,Via Dottor Consoli,viadottorconsoli,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,25,amts_piano_generale_sosta,0.82
VIA DUCA DEGLI ABBRUZZI,Via Duca degli Abruzzi,viaducadegliabruzzi,43,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,44,amts_piano_generale_sosta,0.82
VIA EMPEDOCLE,Via Empedocle,viaempedocle,15,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,14,amts_piano_generale_sosta,0.82
VIA ENNA,Via Enna,viaenna,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,8,amts_piano_generale_sosta,0.82
VIA ENRICO PANTANO,Via Enrico Adolfo Pantano,viaenricoadolfopantano,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,20,amts_piano_generale_sosta,0.82
VIA EUPLIO REINA,Via Euplio Reina,viaeuplioreina,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,5,amts_piano_generale_sosta,0.82
VIA FABIO FILZI,Via Fabio Filzi,viafabiofilzi,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,12,amts_piano_generale_sosta,0.82
VIA FEDERICO DE ROBERTO,Via Federico De Roberto,viafedericoderoberto,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,5,amts_piano_generale_sosta,0.82
VIA FIAMINGO,Via Fiamingo,viafiamingo,9;18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,21,amts_piano_generale_sosta,0.82
VIA FICARAZZI,Via Ficarazzi,viaficarazzi,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,14,amts_piano_generale_sosta,0.82
VIA F. FICHERA,Via Filadelfo e Francesco Fichera,viafiladelfoefrancescofichera,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,5,amts_piano_generale_sosta,0.82
VIA FILOCOMO,Via Filocomo,viafilocomo,14;15,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,22,amts_piano_generale_sosta,0.82
VIA FIRENZE,Via Firenze,viafirenze,18;19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,88,amts_piano_generale_sosta,0.82
VIA F. CRISPI; VIA F.CRISPI,Via Francesco Crispi,viafrancescocrispi,3;18;20,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,55,amts_piano_generale_sosta,0.82
VIA G. D'ANNUNZIO; VIA G.D'ANNUNZIO,Via Gabriele D'Annunzio,viagabrieledannunzio,17;43,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,114,amts_piano_generale_sosta,0.82
VIA GENOVA,Via Genova,viagenova,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,34,amts_piano_generale_sosta,0.82
VIA G. CLEMENTI,Via Gesualdo Clementi,viagesualdoclementi,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,30,amts_piano_generale_sosta,0.82
VIA G. LEOPARDI,Via Giacomo Leopardi,viagiacomoleopardi,43,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,79,amts_piano_generale_sosta,0.82
VIA PUCCINI,Via Giacomo Puccini,viagiacomopuccini,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,13,amts_piano_generale_sosta,0.82
VIA GIACONIA,Via Giaconia,viagiaconia,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,10,amts_piano_generale_sosta,0.82
VIA GIORDANO BRUNO,Via Giordano Bruno,viagiordanobruno,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,30,amts_piano_generale_sosta,0.82
VIA DI PRIMA,Via Giovanni Di Prima,viagiovannidiprima,3,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,73,amts_piano_generale_sosta,0.82
VIA LAVAGGI,Via Giovanni Lavaggi,viagiovannilavaggi,13,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,29,amts_piano_generale_sosta,0.82
VIA G. AURELIO COSTANZO,Via Giuseppe Aurelio Costanzo,viagiuseppeaureliocostanzo,15,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,12,amts_piano_generale_sosta,0.82
VIA DE FELICE,Via Giuseppe De Felice,viagiuseppedefelice,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,21,amts_piano_generale_sosta,0.82
VIA GIUSEPPE FAVA,Via Giuseppe Fava,viagiuseppefava,13,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,22,amts_piano_generale_sosta,0.82
VIA GARIBALDI,Via Giuseppe Garibaldi,viagiuseppegaribaldi,1;6,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,109,amts_piano_generale_sosta,0.82
VIA G.MACHERIONE,Via Giuseppe Macherione,viagiuseppemacherione,43,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,19,amts_piano_generale_sosta,0.82
VIA GIUSEPPE SIMILI,Via Giuseppe Simili,viagiuseppesimili,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,29,amts_piano_generale_sosta,0.82
VIA TERRANOVA,Via Giuseppe Terranova,viagiuseppeterranova,3,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,27,amts_piano_generale_sosta,0.82
VIA VERDI,Via Giuseppe Verdi,viagiuseppeverdi,9;20,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,58,amts_piano_generale_sosta,0.82
VIA GRADISCA,Via Gradisca,viagradisca,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,11,amts_piano_generale_sosta,0.82
VIA GROTTE BIANCHE,Via Grotte Bianche,viagrottebianche,9;18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,34,amts_piano_generale_sosta,0.82
VIA G. OBERDAN; VIA OBERDAN,Via Guglielmo Oberdan,viaguglielmooberdan,9;18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,70,amts_piano_generale_sosta,0.82
VIA INGEGNERE,Via Ingegnere,viaingegnere,14,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,10,amts_piano_generale_sosta,0.82
VIA ISONZO,Via Isonzo,viaisonzo,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,11,amts_piano_generale_sosta,0.82
VIA LAGO DI NICITO,Via Lago di Nicito,vialagodinicito,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,30,amts_piano_generale_sosta,0.82
VIA LAVANDAIE,Via Lavandaie,vialavandaie,1,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,10,amts_piano_generale_sosta,0.82
VIA CAPUANA,Via Luigi Capuana,vialuigicapuana,9;20,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,33,amts_piano_generale_sosta,0.82
VIA CASTIGLIONE,Via Luigi Castiglione,vialuigicastiglione,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,33,amts_piano_generale_sosta,0.82
VIA LUIGI RIZZO,Via Luigi Rizzo,vialuigirizzo,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,36,amts_piano_generale_sosta,0.82
VIA LUIGI STURZO,Via Luigi Sturzo,vialuigisturzo,9;20,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,149,amts_piano_generale_sosta,0.82
VIA MADDEM,Via Maddem,viamaddem,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,20,amts_piano_generale_sosta,0.82
VIA MALTA,Via Malta,viamalta,43,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,37,amts_piano_generale_sosta,0.82
VIA MARIO SANGIORGI,Via Mario Sangiorgi,viamariosangiorgi,19;20,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,36,amts_piano_generale_sosta,0.82
VIA MARTINO CILESTRI,Via Martino Cilestri,viamartinocilestri,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,29,amts_piano_generale_sosta,0.82
VIA MESSINA,Via Messina,viamessina,19;42,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,53,amts_piano_generale_sosta,0.82
VIA MILANO,Via Milano,viamilano,18;19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,110,amts_piano_generale_sosta,0.82
VIA MILAZZO,Via Milazzo,viamilazzo,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,6,amts_piano_generale_sosta,0.82
VIA MOGADISCIO,Via Mogadiscio,viamogadiscio,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,45,amts_piano_generale_sosta,0.82
VIA MONFALCONE,Via Monfalcone,viamonfalcone,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,26,amts_piano_generale_sosta,0.82
VIA MONSERRATO,Via Monserrato,viamonserrato,15,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,21,amts_piano_generale_sosta,0.82
VIA VENTIMIGLIA,Via Monsignor Ventimiglia,viamonsignorventimiglia,3;9;20,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,137,amts_piano_generale_sosta,0.82
VIA MOROSOLI,Via Morosoli,viamorosoli,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,31,amts_piano_generale_sosta,0.82
VIA MUSCATELLO,Via Muscatello,viamuscatello,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,20,amts_piano_generale_sosta,0.82
VIA MUSEO BISCARI,Via Museo Biscari,viamuseobiscari,3,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,15,amts_piano_generale_sosta,0.82
VIA MUSUMECI,Via Musumeci,viamusumeci,9;18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,63,amts_piano_generale_sosta,0.82
VIA NAPOLEONE COLAJANNI,Via Napoleone Colajanni,vianapoleonecolajanni,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,20,amts_piano_generale_sosta,0.82
VIA NAPOLI,Via Napoli,vianapoli,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,34,amts_piano_generale_sosta,0.82
VIA NICOLA COVIELLO,Via Nicola Coviello,vianicolacoviello,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,16,amts_piano_generale_sosta,0.82
VIA NINO MARTOGLIO,Via Nino Martoglio,vianinomartoglio,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,20,amts_piano_generale_sosta,0.82
VIA OLIVETO SCAMMACCA,Via Oliveto Scammacca,viaolivetoscammacca,17;18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,23,amts_piano_generale_sosta,0.82
